Название;Ссылка;Информация;Изображение
ОНЛАЙН - КАЗИНО. Собственная разработка. Масштабируемость весь мир. Есть собственные вложения. Техническая готовность 75%.;https://www.napartner.ru/startup/15759;Размер инвестиций: 150 000 $Условия: 40 %Срок окупаемости: 8 мес. Веб-приложения Россия;https://www.napartner.ru/images/startup/d0c6811e3412f75d6f07c2f0a3a3a4e9.jpg
ПО для создания презентаций Impression FX;https://www.napartner.ru/s/impression_fx/;Размер инвестиций: 300 000 $Условия: 20 %Срок окупаемости: 24 мес. Софт Россия, Санкт-Петербург;https://www.napartner.ru/images/startup/27b33bdfc8b1b64eb1ee47b321a237ce.png
SKIDKI-DNYA Маркетплейс товаров и услуг нового поколения;https://www.napartner.ru/startup/15739;Размер инвестиций: 3 500 000 р.Условия: 50 %Срок окупаемости: 5 мес. E-commerce Россия, Екатеринбург;https://www.napartner.ru/images/startup/6208a7da0120e8ba453472c56aeb6632.jpg
«Модернизация «Кондалес и К», расширение ассортимента выпускаемой продукции и увеличение объемов производства»;https://www.napartner.ru/startup/15727;Размер инвестиций: 13 180 070 р.Условия: 50 %Срок окупаемости: 17 мес. Строительное Россия, Урай;https://www.napartner.ru/images/startup/34282063324c78869f5bb6e5055f4c2b.png
Переработка макулатуры в бумагу для производства картона и бумажных пакетов.;https://www.napartner.ru/startup/15721;Размер инвестиций: 9 800 000 р.Условия: 25 %Срок окупаемости: 24 мес. Полиграфическое Россия, Прокопьевск;https://www.napartner.ru/images/startup/1b1da195d3652e3732ca604c88e5bee1.png
Автоматизированный комплекс придорожного автомобильного сервиса;https://www.napartner.ru/s/roadservice09/;Размер инвестиций: 39 911 000 р.Условия: 49 %Срок окупаемости: 67 мес. Автосервис / автошкола Россия, Карачаевск;https://www.napartner.ru/images/startup/2efc46b953413e9b24c626ae7db7a373.jpg
Koosmeiega;https://www.napartner.ru/startup/15708;Размер инвестиций: 200 000 €Условия: 30 %Срок окупаемости: 11 мес. Веб-приложения Эстония, Таллинн;https://www.napartner.ru/images/startup/331f66d08ebade61b9badb4d3c4e6466.jpg
Торговля ягодными наборами под брендом «DelyBerry» методом доставки;https://www.napartner.ru/startup/15704;Размер инвестиций: 45 850 р.Условия: 5 %Срок окупаемости: 3 мес. Продукты питания Россия, Москва;https://www.napartner.ru/images/startup/0e686eab3fa8165a939ab37dc980db1c.png
О МОРЕ МОРЕ;https://www.napartner.ru/s/omoremore/;Размер инвестиций: 5 700 000 р.Условия: 70 %Срок окупаемости: 10 мес. Рестораны/Клубы Россия, Ростов-на-Дону;https://www.napartner.ru/images/startup/da3a09b6753926a8ac2e8aaaa658deb0.png
Онлайн-бизнес платформа со встроенной уникальной CRM-системой;https://www.napartner.ru/s/comvscom/;Размер инвестиций: 20 000 000 р.Условия: 50 %Срок окупаемости: 24 мес. SaaS Россия;https://www.napartner.ru/images/startup/2a7ab700fe9f7bea51110e3028c47193.png
Приобретение и эксплуатация грузовых судов;https://www.napartner.ru/startup/15684;Размер инвестиций: 18 250 000 $Условия: 50 %Срок окупаемости: 65 мес. Морской / речной Мальта;https://www.napartner.ru/images/startup/560a2baf1c0eddf0cbb245486bc3275d.jpg
Вигатор - объявления бесплатно и без регистрации на сайте VIGATOR;https://www.napartner.ru/s/vigator/;Размер инвестиций: 900 000 р.Условия: 30 %Срок окупаемости: 2 мес. Социальные сервисы Россия, Краснотурьинск;https://www.napartner.ru/images/startup/4a6d6df5bbdfc696c99f9ddc74730ad5.png
Aumburger . Healthy Fast Food (здоровый фаст фуд). Вегетарианская бургерная;https://www.napartner.ru/s/amburger/;Размер инвестиций: 3 500 000 р.Условия: 10 %Срок окупаемости: 14 мес. Рестораны/Клубы Россия, Москва;https://www.napartner.ru/images/startup/084cb5fdb6483703da2609e6796acceb.jpg
Инвестирование в действующее прибыльное  деревообрабатывающее предприятие;https://www.napartner.ru/startup/15672;Размер инвестиций: 3 000 000 р.Срок окупаемости: 12 мес. Строительное Россия, Тула;https://www.napartner.ru/images/startup/9a6945b0bc50a64b8ea75701304cd850.jpg
Сеть роботизированных кафе по продаже мягкого мороженого;https://www.napartner.ru/s/kikirobocafe/;Размер инвестиций: 45 000 000 р.Условия: 51 %Срок окупаемости: 24 мес. Рестораны/Клубы Россия, Москва;https://www.napartner.ru/images/startup/f9047d61bfc0e1b7e2505e5a187631b0.jpg
Защита телефона от удаленного подслушивания и подглядывания вредоносными ПО;https://www.napartner.ru/s/sekira/;Размер инвестиций: 12 000 000 р.Условия: 40 %Срок окупаемости: 12 мес. Безопасность Россия, Москва;https://www.napartner.ru/images/startup/3916595372b97f6d1f04529727880d70.png
Воздух - Marketplace (инвестиции в готовый it проект);https://www.napartner.ru/s/airren/;Размер инвестиций: 10 000 000 р.Условия: 15 %Срок окупаемости: 15 мес. Веб-приложения Россия, Санкт-Петербург;https://www.napartner.ru/images/startup/f04a80759a153a8a92f7d38acf3449d9.png
Быстроторты;https://www.napartner.ru/s/bystrotorty/;Размер инвестиций: 4 000 000 р.Условия: 50 %Срок окупаемости: 40 мес. Рестораны/Клубы Россия, Екатеринбург;https://www.napartner.ru/images/startup/daf5fe2ec6bc2ebf0fb7de9b3b86df46.jpg
"Разработка и производство бионических протезов рук на основе ""искусственных мышц""";https://www.napartner.ru/s/biosynth1/;Размер инвестиций: 9 000 000 р.Условия: 14 %Срок окупаемости: 40 мес. Аппаратура Россия, Пермь;https://www.napartner.ru/images/startup/55a2e10e6c9868a0c3f61d95be87dcfa.png
"Агрегатор недвижимости ""Nedvy.ru Недвижимость Рунета""";https://www.napartner.ru/s/nedvy/;Размер инвестиций: 10 000 000 р.Условия: 20 %Срок окупаемости: 12 мес. Поисковые сервисы Россия;https://www.napartner.ru/images/startup/4c480b5f9c2f809f32e7c6f52f1c20b0.png
Zeldar;https://www.napartner.ru/startup/15616;Размер инвестиций: 4 950 000 р.Условия: 33 %Срок окупаемости: 18 мес. Софт Литва;https://www.napartner.ru/images/startup/51472dcdba4419bab4c112fd6327ac26.jpg
CosmoBase - Сканер косметики;https://www.napartner.ru/s/cosmobase/;Размер инвестиций: 5 000 000 р.Условия: 30 %Срок окупаемости: 25 мес. Мобильные сервисы Россия;https://www.napartner.ru/images/startup/fe92a525c761d499ef397aae437e64d5.png
СИСТЕМА УМНОЙ РОЗНИЧНОЙ ТОРГОВЛИ ПОКУПКИ БЕЗ КАССИРОВ;https://www.napartner.ru/s/smartretails/;Размер инвестиций: 25 000 000 р.Условия: 60 %Срок окупаемости: 24 мес. SaaS Россия, Москва;https://www.napartner.ru/images/startup/cbacf5a1ac1c6f7f15be9a5476934737.png
Biolaria;https://www.napartner.ru/s/biolaria/;Размер инвестиций: 1 500 000 р.Условия: 25 %Срок окупаемости: 18 мес. Косметика Россия, Москва;https://www.napartner.ru/images/startup/f13ac348bd9c9a3b1d33e531d3d65982.png
Добыча и продажа торфа  в тюменской области;https://www.napartner.ru/s/transtorf/;Размер инвестиций: 6 000 000 р.Условия: 25 %Срок окупаемости: 10 мес. Строительное Россия, Тюмень;https://www.napartner.ru/images/startup/bbe13680f79d8c3c1821ffb14ef79970.png
DeteKtor (C);https://www.napartner.ru/startup/15568;Размер инвестиций: 5 000 000 р.Условия: 30 %Срок окупаемости: 23 мес. Социальные сервисы Россия, Москва;https://www.napartner.ru/images/startup/9a59a628bc28b910ec4c6c7b5c80e410.jpg
Kyrgyzstan Smart City;https://www.napartner.ru/s/ksc/;Размер инвестиций: 400 000 $Условия: 25 %Срок окупаемости: 24 мес. Девелопмент Киргызстан, Бишкек;https://www.napartner.ru/images/startup/63e333e15515fd5502cb4c7deeb4afa3.jpg
Компания Эссенс Лаб – это российский производитель уникальных пищевых ингредиентов для быстрого приготовления напитков.;https://www.napartner.ru/s/essence/;Размер инвестиций: 278 000 000 р.Условия: 30 %Срок окупаемости: 36 мес. Пищевое Россия, Москва;https://www.napartner.ru/images/startup/7b5ca13415ba263be62202428c745b19.jpg
ресторан (бургерная) Point Burger's;https://www.napartner.ru/s/pointburgers/;Размер инвестиций: 1 500 000 р.Условия: 40 %Срок окупаемости: 8 мес. Рестораны/Клубы Россия, Москва;https://www.napartner.ru/images/startup/0e9bceb6a4627c59cc7ccda8411577b4.png
Автоподбор.рус - система поиска автомобиля;https://www.napartner.ru/s/abtopodbor/;Размер инвестиций: 3 000 000 р.Условия: 49 %Срок окупаемости: 36 мес. Поисковые сервисы Россия, Москва;https://www.napartner.ru/images/startup/db31bde0a5ce5cd20ec310ea37237f77.jpg
Крастфуд - доставка еды и продуктов из кафе и магазинов;https://www.napartner.ru/s/krastfood/;Размер инвестиций: 10 000 000 р.Условия: 51 %Срок окупаемости: 12 мес. E-commerce Россия;https://www.napartner.ru/images/startup/cbf3154352002de4faaa03bef3516754.png
Сервис для автоматического продвижения ТикТок аккаунта;https://www.napartner.ru/s/luckytok/;Размер инвестиций: 3 500 000 р.Условия: 20 %Срок окупаемости: 12 мес. SaaS Беларусь, Могилев;https://www.napartner.ru/images/startup/05a5962ea57e13a598b9a22aa3583182.png
"Онлайн школа ""Orator Community""";https://www.napartner.ru/s/orator_community/;Размер инвестиций: 3 557 400 р.Условия: 30 %Срок окупаемости: 12 мес. Тренинги Казахстан, Алма-Ата;https://www.napartner.ru/images/startup/ce470c119be18b4cc1a936feb39ed45e.jpg
Финансовый маркетплейс BAI.kz;https://www.napartner.ru/startup/15512;Размер инвестиций: 4 000 000 р.Условия: 20 %Срок окупаемости: 17 мес. Интернет-медиа Казахстан, Алматы;https://www.napartner.ru/images/startup/db82624522f64d8de25d4e0616a65f46.jpg
Производство промышленного оборудования для переработки отходов пластмасс во вторичное полимерное сырьё;https://www.napartner.ru/s/nurman/;Размер инвестиций: 20 000 000 р.Условия: 50 %Срок окупаемости: 6 мес. Машиностроение Россия, Протвино;https://www.napartner.ru/images/startup/87fb9ab763eafd700f7bbc28ecb1a970.jpg
Refresh-ноутбуки. Инвестиции в бизнес, процветающий в корона-кризис, с окупаемостью 29 месяцев. Ваш пассивный доход с прозрачной отчётностью.;https://www.napartner.ru/s/refresh/;Размер инвестиций: 15 000 000 р.Условия: 60 %Срок окупаемости: 29 мес. Компьютеры/оргтехника Россия, Санкт-Петербург;https://www.napartner.ru/images/startup/4752b768b8bbeb6d89ffe37a22822309.png
Производство одноразовой одежды;https://www.napartner.ru/startup/15475;Размер инвестиций: 1 400 000 р.Условия: 15 %Срок окупаемости: 6 мес. Спортивные товары Россия, Тюмень;https://www.napartner.ru/images/startup/5ad3d617e9ae3926ce6329d076c63290.jpg
Расширение химического производство  в Бийске;https://www.napartner.ru/startup/15464;Размер инвестиций: 35 000 000 р.Условия: 30 %Срок окупаемости: 60 мес. Химическая Россия, Бийск;https://www.napartner.ru/images/startup/2114a79631106c1ad4089899145cf17e.jpg
ГК SAMCOM. Грузовой транспорт;https://www.napartner.ru/startup/15461;Размер инвестиций: 3 000 000 р. Автомобильный / Железнодорожный Россия, Самара;https://www.napartner.ru/images/startup/9dcf75baf3a3b46c438f086b274c6a19.png
Сервис подбора личного онлайн психолога Mental Health;https://www.napartner.ru/s/me_health/;Размер инвестиций: 1 200 000 р.Условия: 30 %Срок окупаемости: 12 мес. Поисковые сервисы Россия;https://www.napartner.ru/images/startup/497ea9c8b4bb706c0e45d1684c193fd4.png
Развитие бренда «bo-bo Lounge», сети Lounge заведений премиального сегмента, предоставляющих услуги высокого качества по доступной цене, как инструмента для приобретения коммерческой недвижимости.;https://www.napartner.ru/startup/15442;Размер инвестиций: 250 000 000 р.Условия: 49 %Срок окупаемости: 36 мес. Рестораны/Клубы Россия, Москва;https://www.napartner.ru/images/startup/77b5fd75f4bece9d567029e33988b7db.jpg
Производство погонажных изделий из липы (доля бизнеса или краткосрочный займ);https://www.napartner.ru/startup/15434;Размер инвестиций: 5 000 000 р.Условия: 49 %Срок окупаемости: 12 мес. Строительное Россия, Тула;https://www.napartner.ru/images/startup/e5ff43323e50026b5eb35ee250828d41.jpg
АЛУ-ШЕРИНГ - ваш смартфон это ключ от всех дверей.;https://www.napartner.ru/s/alusharing/;Размер инвестиций: 3 200 000 р.Условия: 30 %Срок окупаемости: 8 мес. Мобильные сервисы Россия;https://www.napartner.ru/images/startup/5e71f64311ec83b91b796d57d14a33d1.png
BankApply;https://www.napartner.ru/s/bankapply/;Размер инвестиций: 50 000 €Условия: 10 %Срок окупаемости: 3 мес. Депозиты/Вклады Эстония, Таллинн;https://www.napartner.ru/images/startup/30d65babeef5f8eb3440ee42b9b16f84.png
CleanWin;https://www.napartner.ru/s/cleanwin/;Размер инвестиций: 80 000 000 р.Условия: 30 %Срок окупаемости: 24 мес. Машиностроение Россия, Санкт-Петербург;https://www.napartner.ru/images/startup/300115d43ac04a1e26bd1d89e901eebd.jpg
World of Concerts (WOC);https://www.napartner.ru/s/woc/;Размер инвестиций: 500 000 $Условия: 20 %Срок окупаемости: 24 мес. Entertainment-бизнес;https://www.napartner.ru/images/startup/c1879080db9dc95a060ac2ab3149f37c.png
50% доли в международном сайте знакомств (в ООО);https://www.napartner.ru/s/datingltd/;Размер инвестиций: 9 913 770 р.Условия: 50 %Срок окупаемости: 30 мес. Социальные сервисы Россия, Москва;https://www.napartner.ru/images/startup/92da5b275dcef1a159d0925ce5b2329a.jpg
СЕТЬ УМНЫЕ-ХОЛОДИЛЬНИКИ ПРОДАЖА СОБСТВЕННОЙ ПРОДУКЦИИ, ФАБРИКА-КУХНЯ ПРОИЗВОДСТВО ГОТОВЫХ БЛЮД ДЛЯ ЗДОРОВОГО ПИТАНИЯ;https://www.napartner.ru/startup/15388;Размер инвестиций: 35 000 000 р.Условия: 60 %Срок окупаемости: 11 мес. Пищевое Россия, Москва;https://www.napartner.ru/images/startup/e2f59779f8c5d7e87b557650ccfafb8d.png
Представительство бренда косметики L.A. Girl в России;https://www.napartner.ru/s/LAGirl/;Размер инвестиций: 33 000 000 р.Условия: 30 %Срок окупаемости: 25 мес. Косметика Россия, Москва;https://www.napartner.ru/images/startup/363da0ab712b03b4b00fd5d31352c53e.jpg
2Курс CRM;https://www.napartner.ru/s/2kurs/;Размер инвестиций: 900 000 р.Условия: 40 %Срок окупаемости: 14 мес. SaaS Россия, Санкт-Петербург;https://www.napartner.ru/images/startup/6b24106e84c12334b3b2d8cc88e95af6.png
Стоматология Современный Стоматологический Комплекс;https://www.napartner.ru/startup/15340;Размер инвестиций: 4 000 000 р.Условия: 50 %Срок окупаемости: 12 мес. Стамоталогии Россия, Москва;https://www.napartner.ru/images/startup/5965682b3a5036df7937e6184fe3b64c.png
MOPIKS: фотосток нового поколения;https://www.napartner.ru/s/mopiks/;Размер инвестиций: 8 400 000 р.Условия: 14 %Срок окупаемости: 24 мес. Рекламные сети Россия, Москва;https://www.napartner.ru/images/startup/6cb229b8c5ec9a8dc76af820948e4163.jpg
Инвестиции в судебное производство;https://www.napartner.ru/startup/15328;Размер инвестиций: 500 000 р.Срок окупаемости: 24 мес. Инвестиции Россия, Новосибирск;https://www.napartner.ru/images/startup/561083c043805acdd9300a68e1a42740.jpg
"Marketplace - Coworking ""Street For Eat""";https://www.napartner.ru/startup/15327;Размер инвестиций: 2 350 000 $Условия: 44 %Срок окупаемости: 24 мес. Рестораны/Клубы Россия, Красноярск;https://www.napartner.ru/images/startup/9ddf3856c0cdb3e569ea8e74e4e17b8b.png
Проект MySalary;https://www.napartner.ru/startup/15321;Размер инвестиций: 180 000 €Условия: 10 %Срок окупаемости: 36 мес. Мобильные сервисы Испания;https://www.napartner.ru/images/startup/6739b9ca6994eae35df0848381d399c1.png
Производство и продажа натуральных конфет Le Reve;https://www.napartner.ru/s/candy_le_reve/;Размер инвестиций: 19 000 000 р.Срок окупаемости: 24 мес. Пищевое Россия, Санкт-Петербург;https://www.napartner.ru/images/startup/a7fab3d0f563389170784d7cc9b22abe.png
Проект ТУРБОРЕНТ - первый поисковик свободного транспорта на основе данных о фактическом местоположении.;https://www.napartner.ru/startup/15310;Размер инвестиций: 5 000 000 р.Условия: 50 %Срок окупаемости: 12 мес. Автомобильный / Железнодорожный Россия, Москва;https://www.napartner.ru/images/startup/98b5650e30a4542296b82b4f36a45381.png
Производство комплектующих для нефтеперерабатывающих производств;https://www.napartner.ru/startup/15303;Размер инвестиций: 4 400 000 р.Условия: 24 %Срок окупаемости: 30 мес. Машиностроение Россия, Волжский;https://www.napartner.ru/images/startup/c58beab80dc72332cb32b5ccdfcefe25.jpg
interBom - сервис для создания интерактивных, многопользовательских 2D и 3D проектов;https://www.napartner.ru/s/interbom/;Размер инвестиций: 10 000 $Условия: 30 %Срок окупаемости: 12 мес. Веб-приложения Россия, Москва;https://www.napartner.ru/images/startup/db76ea45bfe192f7e785f28196f0bec7.png
MotorTrade - магазин контрактных ДВС и КПП привезенные из Японии, ОАЭ и Ю. Кореи.;https://www.napartner.ru/startup/15292;Размер инвестиций: 5 000 000 р.Условия: 30 %Срок окупаемости: 25 мес. Автозапчасти Россия, Уфа;https://www.napartner.ru/images/startup/8757159b788c36bea6f9b46f1d73a0f8.jpg
Полезный фастфуд #ZOZH;https://www.napartner.ru/startup/15290;Размер инвестиций: 1 500 000 р.Условия: 20 %Срок окупаемости: 16 мес. Пищевое Россия, Москва;https://www.napartner.ru/images/startup/c84e375e4f6017c18f77f8dca6640461.jpg
"Выпечка мини-чизкейков  ""TOKYO BAKED CHEESE TART""""";https://www.napartner.ru/startup/15288;Размер инвестиций: 2 700 000 р.Условия: 50 %Срок окупаемости: 12 мес. Пищевое Россия, Ростов-на-Дону;https://www.napartner.ru/images/startup/e6f672d05c8d35b0ff2ab9c7d6700feb.jpg
Salesup;https://www.napartner.ru/s/slsup/;Размер инвестиций: 4 000 000 р.Условия: 30 %Срок окупаемости: 12 мес. SaaS Россия, Москва;https://www.napartner.ru/images/startup/7acf81709a29abd785c99dd729ee374d.png
Get Diet Menu;https://www.napartner.ru/startup/15265;Размер инвестиций: 5 200 000 р.Условия: 49 %Срок окупаемости: 12 мес. Веб-приложения Россия, Москва;https://www.napartner.ru/images/startup/9c78100ce1c8d53a9e6f843f5e787767.png
SafexCorp - программно-аппаратный комплекс для мониторинга ЛЭП;https://www.napartner.ru/startup/15264;Размер инвестиций: 100 000 000 р.Условия: 40 %Срок окупаемости: 36 мес. Безопасность Россия, Екатеринбург;https://www.napartner.ru/images/startup/570599b9a906ede88bf2d71c441ef9b5.jpg
Центр продюсирования онлайн-школ;https://www.napartner.ru/s/stacentr/;Размер инвестиций: 1 300 000 р.Условия: 50 %Срок окупаемости: 3 мес. Тренинги Россия, Москва;https://www.napartner.ru/images/startup/5d7e010f0d6f0a53a1d2bed413b592a7.png
Уникальный IT-проект по поиску работы/сотрудников;https://www.napartner.ru/s/rezume/;Размер инвестиций: 10 000 000 р.Условия: 50 %Срок окупаемости: 36 мес. Мобильные сервисы Россия, Самара;https://www.napartner.ru/images/startup/c3e96da1f07262950be11aff739510cd.png
Система диспетчеризации Сельскохозяйственных комплексов;https://www.napartner.ru/s/agroo/;Размер инвестиций: 6 350 000 р.Условия: 25 %Срок окупаемости: 23 мес. Cloud computing Россия, Казань;https://www.napartner.ru/images/startup/fedc2f7b0135881e46390061193f9c5f.jpg
Мастерские биопротезирования конечностей.;https://www.napartner.ru/s/instep/;Размер инвестиций: 15 000 000 р.Условия: 40 %Срок окупаемости: 36 мес. Клиники/Мед центры Россия, Санкт-Петербург;https://www.napartner.ru/images/startup/47cf2ef7edd3c1929d8a79820df4d540.jpg
Мобильное устройство по уходу за лежачим больным. Запатентовано.;https://www.napartner.ru/startup/15227;Размер инвестиций: 20 120 000 р.Условия: 45 %Срок окупаемости: 6 мес. Аппаратура Россия, Кызыл;https://www.napartner.ru/images/startup/08034e283daf5b5104c6311d87d3306b.png
WannaYou -  знакомства для взрослых;https://www.napartner.ru/startup/15222;Размер инвестиций: 5 000 000 р.Условия: 50 %Срок окупаемости: 24 мес. Социальные сервисы Россия;https://www.napartner.ru/images/startup/a342d280419a0154d2bbc987adc67691.png
Сarchecking -  сервис подбора проверенных авто для покупки;https://www.napartner.ru/startup/15209;Размер инвестиций: 3 500 000 р.Условия: 20 %Срок окупаемости: 24 мес. Автомобильный / Железнодорожный Россия;https://www.napartner.ru/images/startup/1f9450ab9d7db928642fbb8aa6d717c7.png
KvartirneG.ru - стриминг живых выступлений артистов с проработанной интерактивной составляющей;https://www.napartner.ru/s/kvartirneg/;Размер инвестиций: 1 000 000 р.Условия: 30 %Срок окупаемости: 10 мес. Интернет-медиа Россия, Санкт-Петербург;https://www.napartner.ru/images/startup/f01b173275da069e96c63d22457dba68.jpg
"LIke Hostel&Homes; App";https://www.napartner.ru/s/likehostels/;Размер инвестиций: 20 000 000 р.Условия: 20 %Срок окупаемости: 40 мес. Веб-приложения Россия, Москва;https://www.napartner.ru/images/startup/f0475a437627f80f4d87e2c783c89bde.jpg
MKA современный бренд молодежной одежды;https://www.napartner.ru/s/mka/;Размер инвестиций: 5 340 000 р.Условия: 30 %Срок окупаемости: 12 мес. Одежда и обувь Россия, Москва;https://www.napartner.ru/images/startup/566c0664588cee0aeb9b30ccf422619a.jpg
Success Finance;https://www.napartner.ru/startup/15174;Размер инвестиций: 15 000 000 р.Условия: 5 %Срок окупаемости: 36 мес. Кредитный брокер Россия, Москва;https://www.napartner.ru/images/startup/d9ad79e2e4fef9bdb2a509cb302656cc.png
BLACKSMITH;https://www.napartner.ru/startup/15168;Размер инвестиций: 1 500 000 р.Условия: 50 %Срок окупаемости: 12 мес. Реклама / мультимедиа Россия, Москва;https://www.napartner.ru/images/startup/d45dbf4d8f77cc16a77514acd3313a5a.jpg
IT-проект ПОЛЬЗОМЕТР™ (бизнес-трекер времени) и доля в ООО;https://www.napartner.ru/s/polzometer/;Размер инвестиций: 2 470 000 р.Условия: 40 %Срок окупаемости: 24 мес. Веб-приложения Россия, Москва;https://www.napartner.ru/images/startup/2b9d1886a3bc0e9b79c7b4a250a59d64.jpg
Профессиональный Онлайн-Маркетплейс услуг;https://www.napartner.ru/startup/15126;Размер инвестиций: 1 200 000 р.Условия: 15 %Срок окупаемости: 6 мес. Мобильные сервисы Россия, Москва;https://www.napartner.ru/images/startup/ecf22a462a49ff5055898911073f58c0.jpg
Федеральная сеть дизайн-студий;https://www.napartner.ru/s/ids/;Размер инвестиций: 4 000 000 р.Условия: 25 %Срок окупаемости: 24 мес. Проектирование Россия, Самара;https://www.napartner.ru/images/startup/2d9b53c2ea3178e5af57ca4eb28f196b.jpg
Моностудия красоты BrowBar;https://www.napartner.ru/s/browbar/;Размер инвестиций: 2 555 180 р.Условия: 40 %Срок окупаемости: 20 мес. Салон красоты Россия, Астрахань;https://www.napartner.ru/images/startup/0946110155747f4689d4f96da1a19dd6.jpg
Производство товаров для домашних питомцев - Уютный Дом;https://www.napartner.ru/startup/15087;Размер инвестиций: 50 000 000 р.Условия: 30 %Срок окупаемости: 32 мес. Пищевое Россия, Краснодар;https://www.napartner.ru/images/startup/aab4d9a35e980fb4e30a0d67e5d82bba.jpg
Расширение сети музыкальных магазинов;https://www.napartner.ru/startup/15077;Размер инвестиций: 51 300 000 р.Условия: 15 %Срок окупаемости: 24 мес. Товары для домашнего интерьера, хобби и творчества Россия, Тула;https://www.napartner.ru/images/startup/5155b03ed3930493678899415ca19e4d.jpg
Продажа инъекционных препаратов;https://www.napartner.ru/startup/15071;Размер инвестиций: 2 000 000 р.Условия: 60 %Срок окупаемости: 12 мес. Медицинские препараты Россия, Москва;https://www.napartner.ru/images/startup/feb6a1bfb3148f7ae5bb99cda782b788.jpg
Иван Джапан. Японское бистро;https://www.napartner.ru/s/ivanjapan/;Размер инвестиций: 1 000 000 р.Условия: 50 %Срок окупаемости: 12 мес. Рестораны/Клубы Россия;https://www.napartner.ru/images/startup/23713db18d136ef157fa542cd94f01c8.jpg
